username,num_of_stars,review,time
Indi67,4,"Love the shoe. Size up by one size, had to send mine back but returns are super easy","April 9, 2024"
Gersman,5,Great quality and value for money. Would recommend this to anyone.,"April 9, 2024"
Hannah,5,"They are definitely a lighter tan they look in the photos online, but still cute &amp; a great fit. I wear a women's size 8 and ordered the size 7 in these &amp; they fit perfect.","April 9, 2024"
Zewe,1,"Got the pair with silver stripes but no good, unfortunately. Not sure what adidas was thinking with the tongue design - it's hard, plasticky, and super long. It digs in the ankle and just feels and looks cheap/terrible. There are much better models out there, the gazelles with plastic tongue definitely don't do it for me. Would not recommend.","April 9, 2024"
Srp1,5,Great fit and comfortable. Quality is good too. Would buy again,"April 9, 2024"
Jchristie,5,Would order again perfect fit and look good worth the money,"April 9, 2024"
Beck,5,works with basically any outfit and are comfortable,"April 9, 2024"
Zewe,1,"Got the pair with silver stripes but no good, unfortunately. Not sure what adidas was thinking with the tongue design - it's hard, plasticky, and super long. It digs in the ankle and just feels and looks cheap/terrible. There are much better models out there, the gazelles with plastic tongue definitely don't do it for me. Would not recommend.","April 9, 2024"
Srp1,5,Great fit and comfortable. Quality is good too. Would buy again,"April 9, 2024"
Jchristie,5,Would order again perfect fit and look good worth the money,"April 9, 2024"
Beck,5,works with basically any outfit and are comfortable,"April 9, 2024"
17Jupo,5,Really comfy and go with any outfit. I would recommend these.,"April 9, 2024"
Grone,5,Because it has the Peruvian logo and it’s what I being looking for long time and finally you made it,"April 8, 2024"
Waso68,5,"They are simply perfect, I love how they fit and how comfortable they are","April 8, 2024"
Jacob,5,Color is exactly what I was looking for to finish my outfit,"April 8, 2024"
Spud,5,I do quite abit of walking  and these were comfy from the first time I put them on better with the gum colour sole.  Doesn’t look to get so dirty,"April 7, 2024"
Di593,4,"Simple style. Can wear with just about anything. Personally I felt this shoe ran a little small. This is my first pair of adidas. I usually wear Converse or Vans. I wear a 7.5  in women’s (5.5 in men’s). I ordered a 7.5 and they were a bit too snug. Had to exchange them for a size 8 and they fit perfectly now.
The only thing that I Dislike about this shoe is the plastic tongue. It creaks/squeaks all the time. And the shoe does have glue in a couple spots. It’s very noticeable since the shoe is all black but once they are on it’s not very noticeable","April 7, 2024"
Jacob,5,Color is exactly what I was looking for to finish my outfit,"April 8, 2024"
Spud,5,I do quite abit of walking  and these were comfy from the first time I put them on better with the gum colour sole.  Doesn’t look to get so dirty,"April 7, 2024"
Di593,4,"Simple style. Can wear with just about anything. Personally I felt this shoe ran a little small. This is my first pair of adidas. I usually wear Converse or Vans. I wear a 7.5  in women’s (5.5 in men’s). I ordered a 7.5 and they were a bit too snug. Had to exchange them for a size 8 and they fit perfectly now.
The only thing that I Dislike about this shoe is the plastic tongue. It creaks/squeaks all the time. And the shoe does have glue in a couple spots. It’s very noticeable since the shoe is all black but once they are on it’s not very noticeable","April 7, 2024"
Jeremy,4,"Squeaky tongue, but otherwise perfect. Love the colour.","April 7, 2024"
TMontana,3,shoe size was smaller than expected......................,"April 7, 2024"
Pippa,5,"Cannot believe just how comfortable the Gazelle are! Love the retro colour, too.","April 7, 2024"
Dani,3,"Die Schuhe quietschen beim Gehen, die Zunge ist sehr hart und aus ungünstigem Material. Optisch top.","April 7, 2024"
Suze,5,"Arrived super quick, absolutely perfect.  Will be buying more","April 7, 2024"
SC2K,5,"Tried many and this was the winner.  Based on the size guide I would be a 13.5 US, mens but many of these Adidas don't offer but a 13 or 14.  I tried the Samba OG, Special, Stan Smith and finally the Gazelle.  Gotta say the Gazelle is the best fitting for my foot type.  It's definitely wider than the Spezial and Stan Smith which felt very narrow.  The Gazelle felt comfortable right out of the box and would definitely recommend.  Glad I finally found a pair that not only feel comfortable but look very stylish.","April 7, 2024"
BSGG,5,"Great shoes but why are the SL 72 RS sold out? You are Adidas, you make shoes, right?","April 7, 2024"
SC2K,5,"Tried many and this was the winner.  Based on the size guide I would be a 13.5 US, mens but many of these Adidas don't offer but a 13 or 14.  I tried the Samba OG, Special, Stan Smith and finally the Gazelle.  Gotta say the Gazelle is the best fitting for my foot type.  It's definitely wider than the Spezial and Stan Smith which felt very narrow.  The Gazelle felt comfortable right out of the box and would definitely recommend.  Glad I finally found a pair that not only feel comfortable but look very stylish.","April 7, 2024"
BSGG,5,"Great shoes but why are the SL 72 RS sold out? You are Adidas, you make shoes, right?","April 7, 2024"
Sarah,5,Loved the color! Super comfortable and stylish!!!!,"April 7, 2024"
Josi,5,Colour great. Excellent shoes so comfortable and stylish,"April 7, 2024"
JC777LV,5,"Arriba Peru!
These are great for fans of Peru’ national team.","April 7, 2024"
BSGG,5,"Great shoes but why are the SL 72 RS sold out? You are Adidas, you make shoes, right?","April 7, 2024"
Sarah,5,Loved the color! Super comfortable and stylish!!!!,"April 7, 2024"
Josi,5,Colour great. Excellent shoes so comfortable and stylish,"April 7, 2024"
JC777LV,5,"Arriba Peru!
These are great for fans of Peru’ national team.","April 7, 2024"
CMcasa,5,Love the color &amp; the support is nice - no need for inserts (yet)  I like the neutral color that works for my business casual wardrobe,"April 6, 2024"
RedDevil20,5,Fits well and matches my wardrobe during game days,"April 6, 2024"
Cshadow,5,Beautiful show. Great fit. The colors are a perfect match to the jacket,"April 6, 2024"
Gaily,5,This product arrived nicely packaged and fit true to size. Looks great especially with jeans and chinos. Looking forward to getting slot of wear out of them in the summer months.,"April 6, 2024"
Nemia,5,So comfortable and fashionable. I love the color and the style.,"April 6, 2024"
Dozr77,5,"Great colour and very confortable, no need to break them.","April 6, 2024"
RedDevil20,5,Fits well and matches my wardrobe during game days,"April 6, 2024"
Cshadow,5,Beautiful show. Great fit. The colors are a perfect match to the jacket,"April 6, 2024"
Gaily,5,This product arrived nicely packaged and fit true to size. Looks great especially with jeans and chinos. Looking forward to getting slot of wear out of them in the summer months.,"April 6, 2024"
Nemia,5,So comfortable and fashionable. I love the color and the style.,"April 6, 2024"
Dozr77,5,"Great colour and very confortable, no need to break them.","April 6, 2024"
KevinS,4,"Very comfortable right out the box, purchased these for a trip and expect todo some walking but also wanted a sneaker that would look good enough to wear with chinos and a Botton down shirt. Would prefer a softer leather tongue, hence 4 stars instead of 5.","April 5, 2024"
SteelcityG,4,The color and quality is great. But the sides of the white sole quickly turns black from normal wear.,"April 5, 2024"
Alex,4,"Good quality shoes for reasonable price. Stylish, great looking, light and comfy.","April 5, 2024"
Kt30,5,"True to size, very comfortable and supportive. Delivery was fast.","April 5, 2024"
Tosh1901,5,Adidas Gazelle’s are extremely comfortable and stylish.. I feel like a million dollars whilst wearing them! I would highly recommend them and they come in lots of fabulous colours!,"April 5, 2024"
SteelcityG,4,The color and quality is great. But the sides of the white sole quickly turns black from normal wear.,"April 5, 2024"
Alex,4,"Good quality shoes for reasonable price. Stylish, great looking, light and comfy.","April 5, 2024"
Kt30,5,"True to size, very comfortable and supportive. Delivery was fast.","April 5, 2024"
Tosh1901,5,Adidas Gazelle’s are extremely comfortable and stylish.. I feel like a million dollars whilst wearing them! I would highly recommend them and they come in lots of fabulous colours!,"April 5, 2024"
Emas,5,Very comfortable and loved the way it goes with every outfit.,"April 5, 2024"
FBarnosa,5,Will buy more colors and a pair for my daughter as well.,"April 5, 2024"
Mateorrr,3,Very good abd good and great yes very good i love it,"April 4, 2024"
Moggy,5,I have been wearing Gazelle's since the 70s and 80s. They are my favourite trainer and I am so happy that they are now available in lovely colours. I have been wearing my burgundy red ones every single day. I also like the arch support which make them very comfortable. I am already planning to buy another pair in a different colour.,"April 4, 2024"
Rob*,5,Got these for my wife for playground duty at school and she is proper made up with them,"April 4, 2024"
Daniel,5,"Good product, good price, great company, highly recommend","April 4, 2024"
Stephv,5,Would love in more colors.  Maybe waterproof ones.,"April 4, 2024"
Onelovebrisson,1,Made well but I ordered 6.5 to small returned it for a 7 an it’s too big. I’m over it,"April 4, 2024"
RabDaddy33,5,Love this shoe. Wish there were more colorways - wore them all day at the Amusement Park and no discomfort. All day fun!,"April 3, 2024"
Jamie,5,"Great trainers, wanted a white leather pair instead of usual suede and these were a good choice","April 3, 2024"
Chris,5,Love it! The size fits slightly smaller. I am true size 6 usually in every shoe. But I wear a 5.5 in this one and samba.,"April 3, 2024"
Loz1957,1,Uncomfortable and the tongue rubbed the top of my foot. The tongue is too long. Such a shame as they are so nice to look at but just not comfortable.,"April 3, 2024"
BAG8,5,Very authentic color and velvet green cover made it looks elegant,"April 3, 2024"
TheNu77,5,"Comfortable, casual. Its suddle yet fashionable. I love them!","April 3, 2024"
IanO,5,"Very stylish shoe.  Like a lot of the older style shoes, it perhaps lacks a little of the ultra comfort of modern shoes but, more than makes up for it in terms of look and quality of suede.","April 3, 2024"
Cheerfullight,5,Very comfortable and I love the colour combination. Good that I could purchase my exact size - not all manufacturers do half sizes.,"April 3, 2024"
Loz1957,1,Uncomfortable and the tongue rubbed the top of my foot. The tongue is too long. Such a shame as they are so nice to look at but just not comfortable.,"April 3, 2024"
BAG8,5,Very authentic color and velvet green cover made it looks elegant,"April 3, 2024"
TheNu77,5,"Comfortable, casual. Its suddle yet fashionable. I love them!","April 3, 2024"
IanO,5,"Very stylish shoe.  Like a lot of the older style shoes, it perhaps lacks a little of the ultra comfort of modern shoes but, more than makes up for it in terms of look and quality of suede.","April 3, 2024"
Cheerfullight,5,Very comfortable and I love the colour combination. Good that I could purchase my exact size - not all manufacturers do half sizes.,"April 3, 2024"
Bec91,5,Currently one of the most wanted models and the colour is especially en vogue for spring,"April 3, 2024"
Meggi,5,"great looking, super comfy, quality shoes! very happy!","April 3, 2024"
Janpel,4,"I thought the colour of these Gazelle’s would be deeper, as pictured, but they’re more of a dusty burgundy. I know suede is difficult to photograph accurately. Still really like them.","April 3, 2024"
Akl11,5,These shoes are super comfortable and easy to style.,"April 3, 2024"
Clean,5,Favorite thing about the shoe is that it's all black which adidas does not do often,"April 3, 2024"
Vika,5,"Very comfortable shoes, I recommend them, color so beautiful","April 2, 2024"
MAve505,4,"Good initial quality, long-term to be seen. Comfortable shoe. Fashionable.","April 2, 2024"
AliG,5,Bought as a birthday present for my husband. He already has several pairs but won’t wear anything else.,"April 2, 2024"
Bevb,5,The colourway and colours are vibrant and stand out.  So far have had lots of comments.,"April 2, 2024"
Made23,5,Unfortunately you sent me the wrong colour. I wondered why they didn’t look as black as my last ones but I cannot return them as I have worn them already.,"April 2, 2024"
Noshoes,1,Adidas shipped the wrong shoe and size.  Sent back the shoes same day they arrived. Waited 7 days and still didn't ship my shoes I ordered and paid for. What a joke. Poor customer service,"April 2, 2024"
omerarizad04,5,I like them because they are very comfortable and fit very well.,"April 2, 2024"
Lucho20,5,"The colors are perfectly combined for any Peruvian fan, this are the shoes","April 2, 2024"
KayTea3,5,"Great shoes, great fit just like they've always been","April 1, 2024"
keops,5,Gazelle always has amazing quality!!! I love it and I am always buying this ones since I was 15 years old!,"April 1, 2024"
Noshoes,1,Adidas shipped the wrong shoe and size.  Sent back the shoes same day they arrived. Waited 7 days and still didn't ship my shoes I ordered and paid for. What a joke. Poor customer service,"April 2, 2024"
omerarizad04,5,I like them because they are very comfortable and fit very well.,"April 2, 2024"
Lucho20,5,"The colors are perfectly combined for any Peruvian fan, this are the shoes","April 2, 2024"
KayTea3,5,"Great shoes, great fit just like they've always been","April 1, 2024"
keops,5,Gazelle always has amazing quality!!! I love it and I am always buying this ones since I was 15 years old!,"April 1, 2024"
Avis,5,"Always had atleast one pair ofnthese always a great classic to have, Would recommend to others","April 1, 2024"
Perucho8,5,Nice colors. Glad Adidas is representing Peru with this clothing line,"April 1, 2024"
bbame,4,These definitely run big I ordered my usual size and they were about a 1/2 size big,"April 1, 2024"
Jayden,5,These shoes are amazing they look amazing and they suit any outfit. The quality is brilliant but one down side is that you have to protect them from the rain and dirt but otherthan that i highly recommened.,"April 1, 2024"
United,4,Super shoes very comfortable and amazing looks good,"April 1, 2024"
Stradaalta,5,The shoe looks fabulous. Love the three green stripes on the white ground.,"April 1, 2024"
Jams,5,Timeless show that works with any outfit and comfortable,"April 1, 2024"
Hello67,5,Wearing them when we are going to go to the football,"March 31, 2024"
PSR17,5,"Glad they haven’t messed with perfection. 
Comfortable and look good","March 31, 2024"
Sanew,4,"Good reliable shoe, colour great too. Would always recommend gazelles","March 31, 2024"
CJ10,5,Goes with everything. Jeans to shorts to sweats and any color.,"March 31, 2024"
gigi,4,the fabric on the top is really nice. and the color is good quality,"March 31, 2024"
Manda,5,These are cuter than expected on! They fit a little big so size down at least half a size,"March 31, 2024"
April,5,It looks exactly just like the picture I love it will be buying another colour,"March 30, 2024"
Mitch,5,"Hands down my favorite shoe, I’ve been waronf these for over 25 years.","March 30, 2024"
Ceddy1024,5,"It’s a great quality suede shoe, didn’t expect the comfort in this vintage shoe.","March 30, 2024"
Korel19,3,"Style is good but the price is on the high side for a pair of synthetic and vulcanized shoes.
The width it good but the length is half size longer compared to other adidas or brand shoes.","March 30, 2024"
JJ2112,5,Perfect shoe for Copa America! Looking forward to wearing these for the first game in the ATL,"March 30, 2024"
Stuart12,3,"I love the shoe but disagree with true to size, I had to go up a size","March 30, 2024"
Mikey,5,Unique! Not many official FPF merchandise available stateside!,"March 30, 2024"
Ceddy1024,5,"It’s a great quality suede shoe, didn’t expect the comfort in this vintage shoe.","March 30, 2024"
Korel19,3,"Style is good but the price is on the high side for a pair of synthetic and vulcanized shoes.
The width it good but the length is half size longer compared to other adidas or brand shoes.","March 30, 2024"
JJ2112,5,Perfect shoe for Copa America! Looking forward to wearing these for the first game in the ATL,"March 30, 2024"
Stuart12,3,"I love the shoe but disagree with true to size, I had to go up a size","March 30, 2024"
Mikey,5,Unique! Not many official FPF merchandise available stateside!,"March 30, 2024"
Swerveman,5,Great Quality and perfect summer style addition!!!!,"March 30, 2024"
KM80,5,I just really like their timless design and the vintage vibe and how they look when worn with jeans.,"March 30, 2024"
Stephen,5,Never thought I would find a replacement for the Adidas Samba trainers.,"March 30, 2024"
Monu,5,"Amazing piece, definately loved this article, highly recommended.","March 30, 2024"
APerez,5,"I bought the FPF Peru shoes and these are very beautiful and comfortable. It came with additional red laces and the shoes are overall top quality.

They will match perfectly with the Peruvian Adidas jersey.","March 30, 2024"
yanerhoo,5,I like the color and the style.it's very comfortable,"March 29, 2024"
Pablo,5,Gazelle is always a classic and continues to have unmatched quality and comfort.,"March 29, 2024"
Janie,5,Love the colour and great to be able to get a half size!,"March 29, 2024"
adzz,5,The design is very nice and they fit perfect at size 12,"March 29, 2024"
Pliver,5,Like the colour way very classy and trendy for all use,"March 29, 2024"
Eel901,5,My son really wanted new shoes. He wanted another style but these fit better and were cheaper. Great find!,"March 29, 2024"
WeAreas1,3,Cute……………………….i guess I have to write something to move on,"March 29, 2024"
Jonathav4,5,Great all black shoe goes with anything pretty much,"March 29, 2024"
pattoc,5,Great fit and look!  Very comfortable out of the box and felt “broken in” super quickly.  Love the color too.,"March 29, 2024"
Ophelia,3,"I wanted to love these, and I *like* them but the tongue!! I was expecting it to be suede like the rest of the shoe, but instead it’s hard plastic that rubs on your foot. I don’t know what they were thinking. Haven’t worn them outside and debating whether to return or see if a cobbler can replace the tongue for me. Ugh.","March 29, 2024"
Eel901,5,My son really wanted new shoes. He wanted another style but these fit better and were cheaper. Great find!,"March 29, 2024"
WeAreas1,3,Cute……………………….i guess I have to write something to move on,"March 29, 2024"
Jonathav4,5,Great all black shoe goes with anything pretty much,"March 29, 2024"
pattoc,5,Great fit and look!  Very comfortable out of the box and felt “broken in” super quickly.  Love the color too.,"March 29, 2024"
Ophelia,3,"I wanted to love these, and I *like* them but the tongue!! I was expecting it to be suede like the rest of the shoe, but instead it’s hard plastic that rubs on your foot. I don’t know what they were thinking. Haven’t worn them outside and debating whether to return or see if a cobbler can replace the tongue for me. Ugh.","March 29, 2024"
Carlos1501,5,Classic adidas.. had my first pair in late 80s.. love adidas ..,"March 28, 2024"
RedGaz,5,Love the color scheme with red popping with sharp white sneaker.,"March 28, 2024"
Dodgrfan,5,I highly recommend this product especially if you like United and adidas,"March 28, 2024"
coolzedred,5,"Well made
High instep narrow fit and comfy
Very smart","March 28, 2024"
SusieH,4,"Comfortable and elegant, only downside in the plastic tongue, which makes them painful without socks.","March 28, 2024"
Seannieblue,5,"Just what I have been looking for, for years and even better I got the personalised with POPZ 1946 on the left trainer &amp; POPZ 2022 on the right trainer in memory of my Dad.","March 28, 2024"
Agri,5,Great style and actually your feet looks petite in those!,"March 28, 2024"
StudioEight,5,"Great fit, and super comfortable, never have them off.","March 28, 2024"
Dony,5,The quality is remarkable .it is well worth the money.,"March 28, 2024"
Mari,5,I’ve been a fan since my tennis high school days :) Adidas shoes are timeless. I can’t wait to collect them all! :),"March 28, 2024"
LsPh,5,I love the color combination and the material  they are made of.,"March 26, 2024"
Cnrb,2,"The tongue is incredibly squeaky, after two months of minimal use the heel is falling apart. Not worth the money, poor quality.","March 26, 2024"
Gibbo,5,Love gazelle been wearing them for years made to last,"March 26, 2024"
Andy,5,Quality as usual another pair added to my collection.,"March 26, 2024"
Stocky2512,5,"I have a number of Gazelles shoes, I purchased these shoes for the color. A great fit would recommend","March 26, 2024"
RM24,5,Beautiful shoes for my favorite team. A fan’s must have.,"March 28, 2024"
lclagrace,5,nice i dunno they were nice fit well too i like them,"March 27, 2024"
NoNaRa33,5,"Incredibly comfortable, making them perfect for all-day wear.","March 27, 2024"
CRR2023,5,"Fit is perfect, super comfortable and can be worn with anything! So many compliments!!","March 27, 2024"
Cesar455,3,Good shoes nice looking shoe comfortable to wear on feet,"March 27, 2024"
Richard,5,"They are so perfect, I love them 
I love all the colors","March 26, 2024"
Dazza,5,They look great and feel even better. Thoroughly recommend,"March 26, 2024"
PC41,5,"Nice trainers. Look the same as the photos. Will buy in other colours.
Delivered on time.","March 26, 2024"
EL85,5,"Would recommend, great fit and now buying all colour ways","March 26, 2024"
Chato,5,Great sneakers very stylish and I get to rep my country,"March 26, 2024"
Flea,5,Nice shoes!! Super comfortable and stylish. Look good in shorts or pants,"March 25, 2024"
Gooner27,5,"So, mid Jelq (In class) I looked over at my friends Chrome Book and I saw these amazing Arsenal Gazelle shoes. I Couldn't help myself I instantly busted and gooned to these shoes. Truly a Gooner at heart thank you Adidas, and thank you Arsenal","March 25, 2024"
Singh31,5,Great pair of shoes goes with everything comfortable and look great,"March 25, 2024"
Mitch,5,"Belle et confortable ét jolie finition, belle adidas...","March 25, 2024"
EmzB,5,Good stylish pair of shoes that are very comfortable,"March 25, 2024"
Talia,5,The colors are amazing !  Gazelle are a must have.,"March 25, 2024"
Tara79,5,Fantastic colour that goes with everything!  (Plus the usual Adidas comfortable fit and quality as a given!)  I feel my feet can sometimes look a bit large in the white (especially when clean) and the black is great as well but stark -- this colour great with lighter denim and floaty dresses -- - amazing in-between addition!,"March 25, 2024"
Davidmci,5,They are a decent price they fit almost any style if any of the girls see you in them they’ll be coming right over,"March 25, 2024"
Sue1,5,Gorgeous colour.  lovely material.  would definitely recommend.,"March 25, 2024"
ashweigh,5,Love the classic Gazelles. I have always wanted to buy a pair and I’m really happy with my choice,"March 25, 2024"
BigYankeeFan,5,"I love these sneakers! They are comfortable and the materials are top-notch. The only issue is that gazelles seem to fit me a little big, but that problem is easily solved by ordering a half size down. I will always be a fan of these sneakers, as well as all my other Adidas sneakers!!","March 25, 2024"
Angie,5,Love them so much and so many compliments re my initials,"March 24, 2024"
ItsMe,5,"These are a Perfect fit and true to size.
Great new colour.","March 24, 2024"
Goon,5,Fantastic quality great comfort comes with yellow and blue laces great for all the Gooners out there,"March 24, 2024"
Black,5,I am happy with my purchase and my feet don’t hurt!!,"March 24, 2024"
CharmedOne,5,"Love these shoes! I wear them with dresses, shorts, jeans, and dressy pants. They go with everything! I get many compliments on them.","March 24, 2024"
Mon80,5,"The colour is great. Having bought a pair a few years ago at my usual size (uk6) they came up small, so I went half a size up for these and they fir perfectly. Very happy with my purchase!","March 24, 2024"
Bgood,5,Peru!  Love the classic style and comfort of the gazelle while supporting the team!,"March 24, 2024"
Rob2dmax,5,Great show and love how versatile they are with the color palette to work with any clothes I decide to wear.,"March 24, 2024"
CatM,1,"Ordered 2 pairs, got a notification arriving early. Sat at airport for 3 days, said delivered at 5 in the morning, but no evidence on cams that there was even an attempt. Now waiting with no evidence besides my screen captures that I've filled a complaint. They ""may issue a refund"". But I'm the meantime, I should just go buy the shoes at my local Adidas store. 
1) send me documentation
2) don't use your own questionable delivery service (really, 5 am at the beginning of a snow storm after sitting for 3 days with no update on texting)
3) if I had time to go to the store, I would have already gone! But, no time, not in stock in the size color I want. 

Take home, love the shoes, but buy through some one else or at a store. Do not buy through the online store. 

Now I've a 3 week trip starting without the shoes I ordered over 10 days ago that were supposed to be here 5 days ago. And when you have a broken for and 2 messed up knees over the course of the last year... It's not like just any shoes will do! 

Do better Adidas, do better.","March 23, 2024"
zeuss,5,"Great purchase but you should size down, but if you didnt do a method with the laces","March 23, 2024"
ALW53,5,These shoes are comfortable to wear and the colour is fantastic.,"March 23, 2024"
Terri,5,The colour and real retro feel to them stand out in the crowd,"March 23, 2024"
Seabo,5,Great style and really comfortable to wear with just about anything,"March 23, 2024"
e1234,5,nice colours to choose from and very comfortable :),"March 23, 2024"
Auldboy,5,Expected quality and fit you would get from Adidas,"March 23, 2024"
Violette01,5,"Super coloris, super rendu du cuir ,fait tres style","March 23, 2024"
KS12,3,"Love the shoes, hate the tongue. The tongue scrapes against my skin causing irritation and minor, inconvenient abrasions.","March 23, 2024"
Sash,5,Stylish and comfortable. These shoes match with everything.,"March 23, 2024"
alioop,5,"I tried the samba, but feel the gazelle is more comfortable. I like the all white because you can wear it with anything dressed up or down. I would love to see it with a touch of silver letters to replace my old Samoa style. I still get compliments on that shoe. Metallic gold or silver stripes would be a cool feature too. I would get those in a heartbeat.","March 23, 2024"
Kat7,5,I love the color way and style of the shoe. I will be buying more!,"March 23, 2024"
IdaS,5,"Really comfy shoes, true to size and so cool! I like the taupe beige colour.","March 22, 2024"
Marco,5,Must have for Mexico fans. Great quality and colors,"March 22, 2024"
Paliysm,5,"Stylish,comfortable,unique,light on the feet
It was my dream for a long time
And now I’m ready to sleep with them","March 22, 2024"
TonyK,4,"A good reliable classic………………… ……                       ………..
…….","March 22, 2024"
Kat7,5,I love the color way and style of the shoe. I will be buying more!,"March 23, 2024"
IdaS,5,"Really comfy shoes, true to size and so cool! I like the taupe beige colour.","March 22, 2024"
Marco,5,Must have for Mexico fans. Great quality and colors,"March 22, 2024"
Paliysm,5,"Stylish,comfortable,unique,light on the feet
It was my dream for a long time
And now I’m ready to sleep with them","March 22, 2024"
TonyK,4,"A good reliable classic………………… ……                       ………..
…….","March 22, 2024"
soulman,5,great fit great st cred top looks stand out from the crowd,"March 22, 2024"
Gerard,5,I really love how its possible to get letters printed to personalise  these trainers . Great idea. Excellent service as always . Very happy customer,"March 22, 2024"
Smithy,5,"Excellent fit, great quality and comfortable. Look stylish, and slim fitting without being too tight","March 22, 2024"
TNichols,1,I was really excited to finally get a pair of gazelles that I haven't had since I was a teenager.   Unfortunately when I got them the sneaker box was extremely damaged and taped and the soles were dirty and scuffed.  The packing box was in great condition so they were shipped this way.  I ended up having to return them.,"March 22, 2024"
Kendo55,5,Hot I’ve brought about 6 pair so far and would recommend,"March 22, 2024"
Mr.ECS-Man,5,"This shoes is perfectly fit on me. There’s d little tightness the  first time you wear it but as spon a you break-in the shoes for couple pf days, you will love it. I recommend it!","March 22, 2024"
CoCo,3,"stylish, cute color, looks great with any color clothing","March 22, 2024"
Kimberly,5,Perfect fashion shoe....I didn't want the neutral white with black that everyone is wearing... this is the next best thing.,"March 22, 2024"
Senya,5,"convenient and comfortable model, one of the favorites. corresponds to the size.","March 22, 2024"
HAST19,5,"Brightness of the color may vary depending on lighting and depending on the materials of the different styles of gazelles, the comfort may vary. Great shoe overall","March 22, 2024"
Darren65,5,"I had on black and white Gazelle shoes, I wanted so much this colour too
Very comfortable","March 21, 2024"
JoeM,5,"Love my new gazelle, white shoes they go great with all of my outfits","March 21, 2024"
ChiliCampos,5,The iconic Peruvian design featured on this Adidas edition is sure to evoke pride in any Peruvian. The clever blend of soft leather and gum sole is a stroke of genius. This shoe truly embodies our nation's spirit. Kudos for creating such a comfortable masterpiece.,"March 20, 2024"
Jami,5,"The colours are great, also it’s a very great and comfortable shoe","March 20, 2024"
AlexandraJ,5,Love the cranberry colour!  Gazelles are my fave.  Was looking for other colour combos but they sold out too fast.  But these are gorgeous.,"March 20, 2024"
Andy,5,Bought as a gift for my wife. As a none trainer wearer she loves them,"March 20, 2024"
Ants,5,Style and comfort. Always been a fan and happy with another pair,"March 20, 2024"
cgs26,5,great shoe comfortable good looking and it's my favorite team.,"March 20, 2024"
Alanc,4,I usually dont wear gazelle shoes but I do like this particular pair,"March 20, 2024"
BUCIO853,5,Definitely the color and design is amazing.  My wife enjoys wearing them.,"March 20, 2024"
Andy,5,Bought as a gift for my wife. As a none trainer wearer she loves them,"March 20, 2024"
Ants,5,Style and comfort. Always been a fan and happy with another pair,"March 20, 2024"
cgs26,5,great shoe comfortable good looking and it's my favorite team.,"March 20, 2024"
Alanc,4,I usually dont wear gazelle shoes but I do like this particular pair,"March 20, 2024"
BUCIO853,5,Definitely the color and design is amazing.  My wife enjoys wearing them.,"March 20, 2024"
Bluesuedeshoes,5,These are awesome and unique. Great pair to add to my collection of gazelles,"March 19, 2024"
KirstieD,5,Berry colour!  They look a little pinker in real life! Squeak when you first wear but love!,"March 19, 2024"
RocketNCW,5,Iconic trainers that look great and are so comfortable.,"March 19, 2024"
Dreamy,5,"Really comfortable and great colour choice, will buy more colours","March 19, 2024"
DanielaM,4,"Happy with the purchase, so light and comfortable.","March 19, 2024"
Irlanda,5,"I love gazelle, I have them in 3 colours. Green will be the next one.","March 18, 2024"
xxxx,5,Feel like .. kind of flat.. hope little more soles..,"March 18, 2024"
